TMSTAMP,public_name,Air_Temperature_2m_Avg,MSLP_Avg,WSPD_10m_Avg,WDIR_10m_Avg,Soil_Moisture_10cm,Soil_Moisture_10cm_flag
2025-09-30 00:00:00 EDT,Clarksville,65.74,1021.81,2.68,128.595,0.174,0
2025-09-30 01:00:00 EDT,Clarksville,64.9,1021.6,0.61,70.2873,0.174,0
2025-09-30 02:00:00 EDT,Clarksville,64.44,1021.36,0.69,86.3925,0.174,0
2025-09-30 03:00:00 EDT,Clarksville,63.89,1021.02,0.2,22.3388,0.174,0
2025-09-30 04:00:00 EDT,Clarksville,63.67,1020.6,0.64,35.108,0.174,0
2025-09-30 05:00:00 EDT,Clarksville,63.48,1020.19,2.06,102.991,0.174,0
2025-09-30 06:00:00 EDT,Clarksville,62.82,1019.93,0.79,74.6938,0.174,0
2025-09-30 07:00:00 EDT,Clarksville,63,1019.93,1.92,120.535,0.174,0
2025-09-30 08:00:00 EDT,Clarksville,63.84,1019.93,0.94,57.177,0.174,0
2025-09-30 09:00:00 EDT,Clarksville,64.57,1020.5,1.72,139.355,0.174,0
2025-09-30 10:00:00 EDT,Clarksville,65.96,1020.79,1.58,167.658,0.174,0
2025-09-30 11:00:00 EDT,Clarksville,67.78,1020.82,2.14,252.536,0.174,0
2025-09-30 12:00:00 EDT,Clarksville,70.28,1020.51,3.42,305.119,0.173817,0
2025-09-30 13:00:00 EDT,Clarksville,72.44,1019.76,4.39,283.736,0.17265,0
2025-09-30 14:00:00 EDT,Clarksville,74.44,1018.91,5.57,246.28,0.171983,0
2025-09-30 15:00:00 EDT,Clarksville,75.46,1018.3,6.14,204.695,0.170317,0
2025-09-30 00:00:00 EDT,Frostburg,60.66,1023.33,1.31,138.786,0.155,0
2025-09-30 01:00:00 EDT,Frostburg,60.46,1023.22,0.33,110.282,0.15465,0
2025-09-30 02:00:00 EDT,Frostburg,60.65,1023.23,2.1,228.062,0.154167,0
2025-09-30 03:00:00 EDT,Frostburg,59.83,1022.76,1.99,254.95,0.154517,0
2025-09-30 04:00:00 EDT,Frostburg,60.15,1022.35,2.07,200.672,0.1545,0
2025-09-30 05:00:00 EDT,Frostburg,60,1021.97,1.56,261.941,0.155,0
2025-09-30 06:00:00 EDT,Frostburg,59.9,1021.87,2.51,253.319,0.155,0
2025-09-30 07:00:00 EDT,Frostburg,59.79,1021.99,1.3,280.993,0.155,0
2025-09-30 08:00:00 EDT,Frostburg,60.34,1021.95,2.36,181.578,0.155,0
2025-09-30 09:00:00 EDT,Frostburg,61.24,1022.29,0.91,157.837,0.155,0
2025-09-30 10:00:00 EDT,Frostburg,63.43,1022.63,0.33,35.7878,0.155,0
2025-09-30 11:00:00 EDT,Frostburg,65.58,1022.64,1.75,86.9887,0.155,0
2025-09-30 12:00:00 EDT,Frostburg,66.77,1022.42,2.3,96.548,0.155,0
2025-09-30 13:00:00 EDT,Frostburg,67.28,1022.11,3.15,100.956,0.155,0
2025-09-30 14:00:00 EDT,Frostburg,67.91,1021.69,2.69,93.4055,0.155683,0
2025-09-30 15:00:00 EDT,Frostburg,68.44,1021.03,2.52,76.2563,0.156,0
2025-09-30 00:00:00 EDT,Keedysville,63.55,1022,0.69,142.577,0.162,0
2025-09-30 01:00:00 EDT,Keedysville,62.92,1021.56,0.94,111.038,0.162,0
2025-09-30 02:00:00 EDT,Keedysville,62.91,1021.48,1.63,188.478,0.162,0
2025-09-30 03:00:00 EDT,Keedysville,62.7,1021.18,2.27,227.404,0.162333,0
2025-09-30 04:00:00 EDT,Keedysville,62.62,1020.88,1.37,142.171,0.162683,0
2025-09-30 05:00:00 EDT,Keedysville,61.98,1020.3,0.44,83.8242,0.163,0
2025-09-30 06:00:00 EDT,Keedysville,61.9,1020.14,2.73,257.833,0.163,0
2025-09-30 07:00:00 EDT,Keedysville,61.45,1020.15,1.13,101.972,0.163,0
2025-09-30 08:00:00 EDT,Keedysville,61.3,1020.42,1.33,197.212,0.163,0
2025-09-30 09:00:00 EDT,Keedysville,62.07,1020.72,0.95,182.082,0.163,0
2025-09-30 10:00:00 EDT,Keedysville,63.6,1020.96,1.55,196.373,0.163,0
2025-09-30 11:00:00 EDT,Keedysville,65.19,1021.03,0.45,116.651,0.163,0
2025-09-30 12:00:00 EDT,Keedysville,67.47,1020.92,0.82,117.673,0.163,0
2025-09-30 13:00:00 EDT,Keedysville,69.19,1020.49,2.09,148.303,0.162983,0
2025-09-30 14:00:00 EDT,Keedysville,71.32,1019.74,2.01,180.298,0.162167,0
2025-09-30 15:00:00 EDT,Keedysville,72.39,1018.95,2.97,296.502,0.162,0
2025-09-30 00:00:00 EDT,Easton,69.35,1021.02,1.4,65.0457,0.25535,0
2025-09-30 01:00:00 EDT,Easton,68.86,1020.69,2.09,33.3966,0.255483,0
2025-09-30 02:00:00 EDT,Easton,68.45,1020.46,1.41,41.0719,0.255167,0
2025-09-30 03:00:00 EDT,Easton,68.02,1019.75,1.36,162.773,0.255,0
2025-09-30 04:00:00 EDT,Easton,67.49,1019.44,2.93,251.251,0.255,0
2025-09-30 05:00:00 EDT,Easton,66.74,1019.06,3.18,168.152,0.254317,0
2025-09-30 06:00:00 EDT,Easton,66.27,1018.76,2.93,35.2785,0.2545,0
2025-09-30 07:00:00 EDT,Easton,66.11,1018.77,2.42,120.442,0.25435,0
2025-09-30 08:00:00 EDT,Easton,65.43,1019.06,2.44,67.4366,0.254817,0
2025-09-30 09:00:00 EDT,Easton,67.27,1019.38,3.76,23.1639,0.254,0
2025-09-30 10:00:00 EDT,Easton,70.17,1019.61,4.52,33.348,0.254,0
2025-09-30 11:00:00 EDT,Easton,71.47,1019.44,6.55,25.4499,0.254,0
2025-09-30 12:00:00 EDT,Easton,72.75,1019.01,7.21,28.0963,0.254,0
2025-09-30 13:00:00 EDT,Easton,74.16,1018.26,7.07,45.8975,0.254,0
2025-09-30 14:00:00 EDT,Easton,75.76,1017.41,7.6,29.503,0.253317,0
2025-09-30 15:00:00 EDT,Easton,76.39,1016.67,7.68,27.2329,0.253,0
2025-09-30 00:00:00 EDT,Ridgely,68.5,1021.34,1.91,58.7773,0.168,0
2025-09-30 01:00:00 EDT,Ridgely,67.74,1021.09,1.76,77.2642,0.16715,0
2025-09-30 02:00:00 EDT,Ridgely,67.47,1020.78,1.8,128.068,0.167,0
2025-09-30 03:00:00 EDT,Ridgely,66.87,1020.13,2.68,80.641,0.166817,0
2025-09-30 04:00:00 EDT,Ridgely,67.05,1019.79,3.28,23.7827,0.166517,0
2025-09-30 05:00:00 EDT,Ridgely,66.16,1019.45,3.15,79.074,0.166833,0
2025-09-30 06:00:00 EDT,Ridgely,65.33,1019.24,3.25,73.4045,0.166817,0
2025-09-30 07:00:00 EDT,Ridgely,64.86,1019.08,2.98,34.8393,0.166,0
2025-09-30 08:00:00 EDT,Ridgely,64.61,1019.42,2.96,173.378,0.166,0
2025-09-30 09:00:00 EDT,Ridgely,66.07,1019.68,2.1,137.543,0.165483,0
2025-09-30 10:00:00 EDT,Ridgely,68.72,1019.88,2.94,75.1251,0.165,0
2025-09-30 11:00:00 EDT,Ridgely,70.4,1019.83,3.48,36.1172,0.165,0
2025-09-30 12:00:00 EDT,Ridgely,71.96,1019.51,6.2,17.3622,0.164483,0
2025-09-30 13:00:00 EDT,Ridgely,74.37,1018.53,6.65,22.194,0.164333,0
2025-09-30 14:00:00 EDT,Ridgely,76.39,1017.67,6.66,34.3672,0.163983,0
2025-09-30 15:00:00 EDT,Ridgely,77.42,1017.06,7,30.4792,0.162817,0
2025-09-30 00:00:00 EDT,College Park,67.99,1021.34,1.39,179.717,0.141,0
2025-09-30 01:00:00 EDT,College Park,66.99,1021.08,1.58,187.726,0.141,0
2025-09-30 02:00:00 EDT,College Park,66.4,1020.93,0.41,97.36,0.141,0
2025-09-30 03:00:00 EDT,College Park,66.09,1020.59,0.52,88.0437,0.141,0
2025-09-30 04:00:00 EDT,College Park,66.21,1019.97,1.61,171.74,0.141,0
2025-09-30 05:00:00 EDT,College Park,66.08,1019.7,2.25,260.077,0.141,0
2025-09-30 06:00:00 EDT,College Park,66.05,1019.26,1.78,213.912,0.141,0
2025-09-30 07:00:00 EDT,College Park,66.3,1019.35,1.69,142.104,0.141,0
2025-09-30 08:00:00 EDT,College Park,66.38,1019.63,3.37,327.638,0.141,0
2025-09-30 09:00:00 EDT,College Park,67.14,1020.1,1.52,166.638,0.141,0
2025-09-30 10:00:00 EDT,College Park,68.62,1020.29,1.01,50.2384,0.141,0
2025-09-30 11:00:00 EDT,College Park,70.52,1020.18,0.91,149.83,0.141517,0
2025-09-30 12:00:00 EDT,College Park,71.92,1019.86,4.54,261.697,0.142,0
2025-09-30 13:00:00 EDT,College Park,73.64,1019.23,6.09,253.316,0.14165,0
2025-09-30 14:00:00 EDT,College Park,74.41,1018.4,6.17,258.275,0.141,0
2025-09-30 15:00:00 EDT,College Park,75.11,1017.61,6.49,270.443,0.141,0
2025-09-30 00:00:00 EDT,Wye Mills,68.34,1021.19,1.55,46.028,0.195983,0
2025-09-30 01:00:00 EDT,Wye Mills,67.89,1020.85,2.42,78.5482,0.195,0
2025-09-30 02:00:00 EDT,Wye Mills,67.48,1020.64,0.05,4.6265,0.19415,0
2025-09-30 03:00:00 EDT,Wye Mills,67.51,1020.01,2.26,184.06,0.193317,0
2025-09-30 04:00:00 EDT,Wye Mills,67.68,1019.66,1.72,78.836,0.193,0
2025-09-30 05:00:00 EDT,Wye Mills,66.96,1019.41,2.77,25.6933,0.193,0
2025-09-30 06:00:00 EDT,Wye Mills,66.48,1018.99,4.28,38.5852,0.19215,0
2025-09-30 07:00:00 EDT,Wye Mills,65.9,1018.95,4.12,31.8812,0.19165,0
2025-09-30 08:00:00 EDT,Wye Mills,64.97,1019.28,2.43,23.8086,0.191,0
2025-09-30 09:00:00 EDT,Wye Mills,66.46,1019.7,2,34.7325,0.191,0
2025-09-30 10:00:00 EDT,Wye Mills,68.55,1019.88,3.84,25.147,0.19065,0
2025-09-30 11:00:00 EDT,Wye Mills,69.83,1019.72,4.1,25.718,0.18965,0
2025-09-30 12:00:00 EDT,Wye Mills,71.47,1019.41,4.71,35.73,0.189,0
2025-09-30 13:00:00 EDT,Wye Mills,72.76,1018.52,6.55,81.8295,0.18865,0
2025-09-30 14:00:00 EDT,Wye Mills,74.65,1017.69,6.29,95.4597,0.187483,0
2025-09-30 15:00:00 EDT,Wye Mills,76.1,1016.99,6.25,126.867,0.186817,0
2025-09-30 00:00:00 EDT,Baltimore,71.66,1021.47,4.58,39.8057,0.2645,0
2025-09-30 01:00:00 EDT,Baltimore,70.98,1021.21,2.03,177.171,0.26465,0
2025-09-30 02:00:00 EDT,Baltimore,69.95,1021.04,2.14,137.533,0.264,0
2025-09-30 03:00:00 EDT,Baltimore,69.23,1020.73,1.46,215.071,0.263317,0
2025-09-30 04:00:00 EDT,Baltimore,68.87,1020.21,3.65,27.8682,0.263667,0
2025-09-30 05:00:00 EDT,Baltimore,68.36,1019.85,2,246.535,0.263,0
2025-09-30 06:00:00 EDT,Baltimore,68.18,1019.69,3.66,104.265,0.262317,0
2025-09-30 07:00:00 EDT,Baltimore,68.07,1019.57,4.11,185.963,0.262333,0
2025-09-30 08:00:00 EDT,Baltimore,67.97,1019.54,3.46,135.005,0.262,0
2025-09-30 09:00:00 EDT,Baltimore,68.25,1020.13,1.62,161.882,0.261483,0
2025-09-30 10:00:00 EDT,Baltimore,69.17,1020.39,0.79,133.361,0.261,0
2025-09-30 11:00:00 EDT,Baltimore,70.74,1020.36,2.81,309.912,0.261,0
2025-09-30 12:00:00 EDT,Baltimore,72.65,1019.95,4.07,142.384,0.261,0
2025-09-30 13:00:00 EDT,Baltimore,74.05,1019.33,5.61,30.3309,0.261,0
2025-09-30 14:00:00 EDT,Baltimore,75.52,1018.48,5.53,104.927,0.261,0
2025-09-30 15:00:00 EDT,Baltimore,77.34,1017.86,5.3,113.339,0.260317,0
2025-09-30 00:00:00 EDT,Upper Marlboro,67.65,1021.19,0.73,96.6106,0.173017,0
2025-09-30 01:00:00 EDT,Upper Marlboro,67.04,1020.92,0.53,79.6687,0.173833,0
2025-09-30 02:00:00 EDT,Upper Marlboro,66.83,1020.8,0.27,111.118,0.174,0
2025-09-30 03:00:00 EDT,Upper Marlboro,66.6,1020.37,0.5,78.2916,0.174,0
2025-09-30 04:00:00 EDT,Upper Marlboro,66.48,1019.8,1.46,67.8712,0.174,0
2025-09-30 05:00:00 EDT,Upper Marlboro,66.79,1019.36,3.03,84.3356,0.174,0
2025-09-30 06:00:00 EDT,Upper Marlboro,67.11,1019.11,2.83,23.0667,0.174,0
2025-09-30 07:00:00 EDT,Upper Marlboro,66.84,1019,2.62,104.872,0.174,0
2025-09-30 08:00:00 EDT,Upper Marlboro,66.94,1019.44,2.1,126.9,0.174,0
2025-09-30 09:00:00 EDT,Upper Marlboro,67.4,1019.89,1.81,268.798,0.174,0
2025-09-30 10:00:00 EDT,Upper Marlboro,68.96,1019.99,3.6,78.0959,0.174,0
2025-09-30 11:00:00 EDT,Upper Marlboro,70.13,1019.9,3.83,158.545,0.174,0
2025-09-30 12:00:00 EDT,Upper Marlboro,71.32,1019.49,5.77,93.7195,0.173817,0
2025-09-30 13:00:00 EDT,Upper Marlboro,73.07,1018.92,6.16,46.4889,0.173,0
2025-09-30 14:00:00 EDT,Upper Marlboro,75.02,1017.9,7.27,137.686,0.17265,0
2025-09-30 15:00:00 EDT,Upper Marlboro,75.1,1017.3,7.64,42.1856,0.172,0
2025-09-30 00:00:00 EDT,Waldorf,65.84,1020.87,0.69,12.0461,0.172,0
2025-09-30 01:00:00 EDT,Waldorf,66.02,1020.73,0.75,107.785,0.172,0
2025-09-30 02:00:00 EDT,Waldorf,65.97,1020.78,0.85,167.485,0.172,0
2025-09-30 03:00:00 EDT,Waldorf,65.93,1020.17,0.82,28.6779,0.172,0
2025-09-30 04:00:00 EDT,Waldorf,65.65,1019.48,0.55,21.0278,0.172,0
2025-09-30 05:00:00 EDT,Waldorf,65.66,1019.02,1.11,52.9344,0.172,0
2025-09-30 06:00:00 EDT,Waldorf,65.88,1018.68,0.95,39.9977,0.172,0
2025-09-30 07:00:00 EDT,Waldorf,65.69,1018.83,0.43,23.5673,0.172,0
2025-09-30 08:00:00 EDT,Waldorf,65.44,1019.28,0.33,96.0206,0.172,0
2025-09-30 09:00:00 EDT,Waldorf,67.16,1019.57,1.75,27.1032,0.172,0
2025-09-30 10:00:00 EDT,Waldorf,69.36,1019.79,1.96,37.4273,0.172,0
2025-09-30 11:00:00 EDT,Waldorf,71.7,1019.6,2.18,62.2026,0.172,0
2025-09-30 12:00:00 EDT,Waldorf,72.9,1019.2,2.85,47.0804,0.172,0
2025-09-30 13:00:00 EDT,Waldorf,72.53,1018.73,3.38,36.7895,0.172,0
2025-09-30 14:00:00 EDT,Waldorf,72.5,1017.77,3.58,30.0539,0.172,0
2025-09-30 15:00:00 EDT,Waldorf,73.7,1017.01,3.59,36.8743,0.172,0
2025-09-30 00:00:00 EDT,Princess Anne,68.66,1020.25,3.35,41.3952,0.208,0
2025-09-30 01:00:00 EDT,Princess Anne,68.41,1020.11,2.14,45.5714,0.208,0
2025-09-30 02:00:00 EDT,Princess Anne,68,1019.72,3.63,27.0668,0.208,0
2025-09-30 03:00:00 EDT,Princess Anne,67.87,1019.33,3.53,26.772,0.208,0
2025-09-30 04:00:00 EDT,Princess Anne,67.66,1018.59,3.27,37.0375,0.207317,0
2025-09-30 05:00:00 EDT,Princess Anne,67.54,1017.96,4.57,30.2848,0.207,0
2025-09-30 06:00:00 EDT,Princess Anne,67.66,1017.71,6.27,28.9448,0.206983,0
2025-09-30 07:00:00 EDT,Princess Anne,67.63,1018.06,3.43,26.2016,0.206,0
2025-09-30 08:00:00 EDT,Princess Anne,67.38,1018.34,3,34.8343,0.206,0
2025-09-30 09:00:00 EDT,Princess Anne,68.37,1018.55,4.53,33.1793,0.206,0
2025-09-30 10:00:00 EDT,Princess Anne,69.99,1018.45,5.49,31.6458,0.206,0
2025-09-30 11:00:00 EDT,Princess Anne,71.4,1018.39,6.04,24.5043,0.206,0
2025-09-30 12:00:00 EDT,Princess Anne,72.98,1017.95,6.78,28.2468,0.20565,0
2025-09-30 13:00:00 EDT,Princess Anne,73.91,1017.37,6.74,23.4765,0.204483,0
2025-09-30 14:00:00 EDT,Princess Anne,74.31,1016.43,9,30.0897,0.20315,0
2025-09-30 15:00:00 EDT,Princess Anne,74.24,1015.93,6.75,21.2664,0.202483,0
2025-09-30 00:00:00 EDT,Quantico,68.54,1020.49,2.16,40.8962,0.134,0
2025-09-30 01:00:00 EDT,Quantico,68.04,1020.31,1.96,43.9835,0.133317,0
2025-09-30 02:00:00 EDT,Quantico,67.72,1020.12,1.59,38.8047,0.133,0
2025-09-30 03:00:00 EDT,Quantico,67.61,1019.5,1.77,35.5266,0.133,0
2025-09-30 04:00:00 EDT,Quantico,67.31,1018.86,1.36,86.4235,0.133,0
2025-09-30 05:00:00 EDT,Quantico,67.02,1018.4,2.83,31.3941,0.133,0
2025-09-30 06:00:00 EDT,Quantico,67.03,1018.23,3.29,32.0956,0.133,0
2025-09-30 07:00:00 EDT,Quantico,67.08,1018.24,2.95,38.5078,0.133,0
2025-09-30 08:00:00 EDT,Quantico,66.76,1018.77,1.8,59.2947,0.133,0
2025-09-30 09:00:00 EDT,Quantico,67.49,1018.91,3.31,33.2988,0.133,0
2025-09-30 10:00:00 EDT,Quantico,68.98,1018.79,4.28,35.0065,0.133,0
2025-09-30 11:00:00 EDT,Quantico,70.79,1018.79,3.66,34.1446,0.133,0
2025-09-30 12:00:00 EDT,Quantico,72.52,1018.18,5.38,37.2956,0.13265,0
2025-09-30 13:00:00 EDT,Quantico,73.01,1017.7,3.46,52.2541,0.132,0
2025-09-30 14:00:00 EDT,Quantico,73.06,1016.84,4.17,30.4429,0.132,0
2025-09-30 15:00:00 EDT,Quantico,72.73,1016.2,3.1,37.2513,0.13115,0
2025-09-30 00:00:00 EDT,Towson,67.19,1021.69,0.68,64.4105,0.27,0
2025-09-30 01:00:00 EDT,Towson,67.25,1021.3,0.38,78.9027,0.269983,0
2025-09-30 02:00:00 EDT,Towson,66.74,1021.12,1.16,83.709,0.269,0
2025-09-30 03:00:00 EDT,Towson,65.86,1020.78,0.75,190.843,0.269,0
2025-09-30 04:00:00 EDT,Towson,65.3,1020.34,0.58,18.1565,0.269,0
2025-09-30 05:00:00 EDT,Towson,65.17,1019.91,0.41,91.5597,0.269,0
2025-09-30 06:00:00 EDT,Towson,64.87,1019.86,2.04,55.4998,0.269,0
2025-09-30 07:00:00 EDT,Towson,65.38,1019.79,2.53,71.5337,0.269,0
2025-09-30 08:00:00 EDT,Towson,65.95,1019.62,2.89,40.4664,0.269,0
2025-09-30 09:00:00 EDT,Towson,66.23,1020.11,1.95,122.045,0.269,0
2025-09-30 10:00:00 EDT,Towson,67.29,1020.33,0.59,65.04,0.268483,0
2025-09-30 11:00:00 EDT,Towson,68.99,1020.41,1.17,204.494,0.268,0
2025-09-30 12:00:00 EDT,Towson,70.27,1020.07,2.29,184.949,0.268,900
2025-09-30 13:00:00 EDT,Towson,73.11,1019.42,4.46,50.227,0.26765,0
2025-09-30 14:00:00 EDT,Towson,74.54,1018.53,4.34,110.191,0.267,0
2025-09-30 15:00:00 EDT,Towson,75.11,1018.03,5.41,163.398,0.267,0
2025-09-30 00:00:00 EDT,Westminster,67.07,1022.42,3.16,92.8288,0.201,0
2025-09-30 01:00:00 EDT,Westminster,66.84,1021.9,2.24,73.6602,0.201,0
2025-09-30 02:00:00 EDT,Westminster,66.72,1021.66,1.9,65.1918,0.201,0
2025-09-30 03:00:00 EDT,Westminster,66.28,1021.4,1.79,183.827,0.201,0
2025-09-30 04:00:00 EDT,Westminster,65.13,1020.87,1.8,198.773,0.201,0
2025-09-30 05:00:00 EDT,Westminster,64.1,1020.44,1.31,176.852,0.201,0
2025-09-30 06:00:00 EDT,Westminster,64.41,1020.4,1.85,310.375,0.201,0
2025-09-30 07:00:00 EDT,Westminster,65.59,1020.32,2.6,125.288,0.201,0
2025-09-30 08:00:00 EDT,Westminster,66.2,1020.33,3.84,28.266,0.201,0
2025-09-30 09:00:00 EDT,Westminster,66.51,1020.66,3.01,190.482,0.201,0
2025-09-30 10:00:00 EDT,Westminster,66.88,1020.86,3.11,178.085,0.201,0
2025-09-30 11:00:00 EDT,Westminster,68.24,1020.96,3.75,64.4233,0.201,0
2025-09-30 12:00:00 EDT,Westminster,70.49,1020.77,3.47,147.467,0.201,0
2025-09-30 13:00:00 EDT,Westminster,72.05,1020.23,4.05,205.936,0.200983,0
2025-09-30 14:00:00 EDT,Westminster,73.08,1019.54,4.41,147.839,0.2,0
2025-09-30 15:00:00 EDT,Westminster,72.64,1019.06,4.84,258.31,0.2,0
2025-09-30 00:00:00 EDT,Clear Spring,60.15,1021.54,0.46,123.272,0.194483,0
2025-09-30 01:00:00 EDT,Clear Spring,59.72,1021.09,0.52,134.301,0.194,0
2025-09-30 02:00:00 EDT,Clear Spring,59.99,1020.91,0.33,13.4281,0.194,0
2025-09-30 03:00:00 EDT,Clear Spring,59.81,1020.83,0.23,67.4205,0.194,0
2025-09-30 04:00:00 EDT,Clear Spring,59.9,1020.16,0.35,87.1468,0.19315,0
2025-09-30 05:00:00 EDT,Clear Spring,59.87,1019.69,0.45,50.4039,0.193167,0
2025-09-30 06:00:00 EDT,Clear Spring,60.82,1019.63,1.34,157.241,0.192817,0
2025-09-30 07:00:00 EDT,Clear Spring,60.34,1019.66,0.97,166.395,0.192,0
2025-09-30 08:00:00 EDT,Clear Spring,60.06,1019.76,0.38,121.672,0.192,0
2025-09-30 09:00:00 EDT,Clear Spring,61.3,1020.07,0.28,43.4033,0.192,0
2025-09-30 10:00:00 EDT,Clear Spring,64.43,1020.21,0.07,29.635,0.192,0
2025-09-30 11:00:00 EDT,Clear Spring,68.07,1020.34,1.81,257.868,0.191317,0
2025-09-30 12:00:00 EDT,Clear Spring,70.57,1020.21,2.2,295.699,0.191,0
2025-09-30 13:00:00 EDT,Clear Spring,71.78,1019.8,1.76,244.273,0.190483,0
2025-09-30 14:00:00 EDT,Clear Spring,73,1019.22,1.68,164.469,0.19,0
2025-09-30 15:00:00 EDT,Clear Spring,73.99,1018.54,3.46,265.649,0.189833,0
2025-09-30 00:00:00 EDT,Chestertown,68.43,1021.43,0.85,118.862,0.317,0
2025-09-30 01:00:00 EDT,Chestertown,67.19,1021.02,0.49,49.9241,0.317,0
2025-09-30 02:00:00 EDT,Chestertown,66.4,1020.87,0.46,95.3423,0.317,0
2025-09-30 03:00:00 EDT,Chestertown,66.58,1020.4,1.79,29.7017,0.317,0
2025-09-30 04:00:00 EDT,Chestertown,66.66,1019.91,2.57,63.3941,0.317,0
2025-09-30 05:00:00 EDT,Chestertown,65.63,1019.67,1.26,37.808,0.317,0
2025-09-30 06:00:00 EDT,Chestertown,66.02,1019.42,2.63,47.0098,0.316483,0
2025-09-30 07:00:00 EDT,Chestertown,65.39,1019.41,1.79,33.9307,0.316,0
2025-09-30 08:00:00 EDT,Chestertown,66.43,1019.48,3.07,33.1218,0.316,0
2025-09-30 09:00:00 EDT,Chestertown,66.49,1019.81,1.21,47.6772,0.316,0
2025-09-30 10:00:00 EDT,Chestertown,67.65,1019.89,2.53,326.498,0.316,0
2025-09-30 11:00:00 EDT,Chestertown,69.93,1019.88,1.2,162.545,0.316,0
2025-09-30 12:00:00 EDT,Chestertown,72.8,1019.63,3.81,122.143,0.315483,0
2025-09-30 13:00:00 EDT,Chestertown,74.56,1018.85,3.59,81.9318,0.314817,0
2025-09-30 14:00:00 EDT,Chestertown,75.63,1017.9,4.54,235.087,0.314,0
2025-09-30 15:00:00 EDT,Chestertown,76.6,1017.34,4.25,165.948,0.313817,0
2025-09-30 00:00:00 EDT,Cambridge,70.24,1020.86,4.24,88.3507,0.303,0
2025-09-30 01:00:00 EDT,Cambridge,69.64,1020.58,3.17,72.4358,0.303,0
2025-09-30 02:00:00 EDT,Cambridge,69.26,1020.38,2.82,77.7813,0.303,0
2025-09-30 03:00:00 EDT,Cambridge,68.87,1019.78,1.95,76.4783,0.303,0
2025-09-30 04:00:00 EDT,Cambridge,67.8,1019.29,0.42,96.9539,0.303,0
2025-09-30 05:00:00 EDT,Cambridge,68.04,1018.88,1.52,86.5894,0.303,0
2025-09-30 06:00:00 EDT,Cambridge,67.91,1018.66,2.11,53.1734,0.302317,0
2025-09-30 07:00:00 EDT,Cambridge,67.52,1018.66,1.99,60.8528,0.302,0
2025-09-30 08:00:00 EDT,Cambridge,67.3,1018.96,1.94,70.0888,0.302,0
2025-09-30 09:00:00 EDT,Cambridge,68.63,1019.38,2.2,75.8815,0.302,0
2025-09-30 10:00:00 EDT,Cambridge,71.14,1019.41,2.59,63.525,0.302,0
2025-09-30 11:00:00 EDT,Cambridge,72.21,1019.22,3.57,65.5172,0.302,0
2025-09-30 12:00:00 EDT,Cambridge,72.64,1018.83,3.61,60.3245,0.301483,0
